eventid,iyear,imonth,iday,country_txt,region_txt,city,latitude,longitude,attacktype1_txt,nkill,nwound
1.97001E+11,1970,1,0,Philippines,Southeast Asia,Unknown,15.478598,120.599741,Assassination,1,0
1.97001E+11,1970,1,21,Philippines,Southeast Asia,Quezon City,14.67428,121.057495,Bombing/Explosion,0,0
1.97001E+11,1970,1,31,Philippines,Southeast Asia,Bamban,15.675051,120.331618,Unknown,0,1
1.97003E+11,1970,3,0,Philippines,Southeast Asia,Manila,14.596051,120.978666,Bombing/Explosion,0,0
1.97003E+11,1970,3,24,Philippines,Southeast Asia,Angeles,15.153002,120.591942,Unknown,1,0
1.97004E+11,1970,4,2,Philippines,Southeast Asia,Mabalacat City,15.185916,120.54187,Unknown,2,0
1.97004E+11,1970,4,21,Philippines,Southeast Asia,Cauayan,,,Bombing/Explosion,36,0
1.97006E+11,1970,6,2,Philippines,Southeast Asia,Roxas,11.586558,122.753716,Bombing/Explosion,1,12
1.97006E+11,1970,6,6,Philippines,Southeast Asia,Quezon City,14.67428,121.057495,Bombing/Explosion,0,0
1.97011E+11,1970,11,22,Philippines,Southeast Asia,Manila,14.596051,120.978666,Bombing/Explosion,0,0
1.97102E+11,1971,2,12,Philippines,Southeast Asia,Manila,14.596051,120.978666,Bombing/Explosion,,
1.97103E+11,1971,3,0,Philippines,Southeast Asia,Angeles,15.153002,120.591942,Bombing/Explosion,,
1.97103E+11,1971,3,0,Philippines,Southeast Asia,Tarlas,,,Bombing/Explosion,0,0
1.97103E+11,1971,3,30,Philippines,Southeast Asia,Manila,14.596051,120.978666,Hijacking,0,0
1.97109E+11,1971,9,0,Cambodia,Southeast Asia,Phnom Penh,11.558831,104.917445,Assassination,0,0
1.97109E+11,1971,9,0,Cambodia,Southeast Asia,Phnom Penh,11.558831,104.917445,Assassination,2,10
1.972E+11,1972,0,0,Philippines,Southeast Asia,Roxas,11.586558,122.753716,Bombing/Explosion,0,0
